ASIN,コード,タイトル,メーカー、ブランド,定価,新品価格,新品安値ギャップ,新品数,中古最安値,中古安値ギャップ,中古数,在庫,ランキング,レビュー数,発売日
"B00439I1F0","4974365900663","戦場のヴァルキュリア3","セガ","6,458","2,150","30","21","750","200","53","○","2,630","145","2011/01/27"
"B004EWEX08","4974365900670","ファンタシースターポータブル2 インフィニティ プレミアムボックス","セガ","","5,680","150","5","1,835","595","9","×","8,190","9","2011/02/24"
"B00516DOZQ","4974365900694","セブンスドラゴン2020 (通常版)","セガ","6,458","2,750","5","22","800","0","55","○","1,650","113","2011/11/23"
"B005KGPW3O","4974365900731","戦場のヴァルキュリア3 EXTRA EDITION","セガ、￥ 1,545","4,104","2,850","332","10","2,600","250","16","○","4,543","27","2011/11/23"
"B006OV7R4G","4974365900762","クロヒョウ2 龍が如く 阿修羅編","セガ、￥ 960","6,458","2,778","0","19","1,650","190","45","○","1,541","62","2012/03/22"
"B005ZNJCJ2","4974365900779","シャイニング・ブレイド","セガ","6,458","1,646","4","31","634","0","66","○","985","90","2012/03/15"
"B005C8CHVA","4974365900793","セブンスドラゴン2020 (限定版:政府特殊機関“ムラクモ"限定装飾一式 同梱)","セガ","9,072","6,975","0","14","2,149","1","14","○","4,644","26","2011/11/23"
"B005K6B3KK","4974365900809","SEGA THE BEST 戦場のヴァルキュリア2 ガリア王立士官学校","セガ","1,890","1,470","12","16","850","0","9","○","5,929","2","2011/11/23"
"B005VACKD4","4974365900823","クロヒョウ 龍が如く新章 PSP the Best","セガ","1,944","1,510","0","26","740","19","32","○","4,252","16","2011/12/01"
"B005VACK16","4974365900847","シャイニング・ハーツ PSP the Best","セガ","2,571","2,168","2","9","635","5","17","○","14,418","3","2011/12/22"
"B009S4GHDI","4974365900861","シャイニング・アーク","セガ、￥ 77","6,458","1,030","10","48","579","1","65","○","1,719","65","2013/02/28"
"B00ABA7OIA","4974365900878","セブンスドラゴン2020-II","セガ、￥ 951","6,458","2,770","10","53","1,820","20","59","○","810","58","2013/04/18"
"B009KDX41U","4974365900892","セブンスドラゴン2020 PSP the Best","セガ","3,024","2,049","1","15","1,420","130","21","○","3,178","8","2012/12/13"
"B009KDX3CA","4974365900908","シャイニング・ハーツ PSP the Best","セガ、￥ 345","1,944","1,108","342","18","1,108","11","12","○","12,617","","2012/12/13"
"B00AEKIX4G","4974365900915","クロヒョウ2 龍が如く阿修羅編 SEGA THE BEST","セガ","3,024","2,776","1","19","2,375","0","10","○","6,903","6","2013/02/21"
"B00D5OOFVS","4974365900939","シャイニング・ブレイド PSP(R) the Best","セガ","3,024","2,040","10","12","1,820","10","5","○","18,864","","2013/08/08"
"B000KKF244","4976219021180","ブレス・オブ・ファイアIII カプコレ","カプコン、￥ 721","2,138","1,718","812","6","1,405","215","10","○","3,615","21","2007/01/25"
"B000R8RRMO","4976219022651","グランド・セフト・オート・リバティーシティ・ストーリーズ【CEROレーティング「Z」】","カプコン","","11,000","","1","1,690","160","14","×","2,171","31","2007/07/26"
"B001KU7GCY","4976219028622","ロックマンDASH / ロックマンDASH2 バリューパック","カプコン","3,229","2,591","739","7","2,480","26","13","○","4,682","40","2009/01/29"
"B002Z14LGQ","4976219033695","モンスターハンター ポータブル 2nd G PSP the Best","カプコン","2,160","1,320","530","10","341","0","73","○","2,652","130","2009/12/24"
"B002PK0KLM","4976219034333","ラストランカー","カプコン","6,161","1,593","1","14","490","50","62","○","2,597","140","2010/07/15"
"B003CN64UC","4976219035620","モンスターハンターポータブル 3rd","カプコン","5,966","3,969","0","31","341","0","198","○","305","829","2010/12/01"
"B004OA7Y3S","4976219037914","ラストランカー Best Price!","カプコン、￥ 135","2,160","979","1","14","768","152","12","○","9,882","5","2011/04/14"
"B0009X979I","4976219653336","ロックマンDASH 鋼の冒険心","カプコン、￥ 228","4,739","4,739","3,171","5","1,122","1","14","○","10,786","14","2005/08/04"
"B0009X979S","4976219653367","ブレス オブ ファイア III","カプコン、￥ 520","","9,790","0","6","1,267","0","9","×","13,534","10","2005/08/25"
"B000A6CITA","4976219653565","ロックマンDASH2 エピソード2 大いなる遺産","カプコン、￥ 88","","8,500","","1","1,200","130","17","×","27,123","9","2005/09/08"
"B000CN09TW","4976219654364","モンスターハンターポータブル","カプコン","","9,999","1","2","339","0","76","×","4,687","140","2005/12/01"
"B000A85PNO","4976219654722","モンスターハンターポータブル 特典 みみかき!にゃんにゃんぼう付き","カプコン","","","","","30,150","","1","×","33,344","29","2005/12/01"
"B000CSH760","4983164735727","マグナカルタ ポータブル","バンプレスト","5,184","4,200","1,800","3","448","1","27","○","10,122","30","2006/05/25"
"B000P31PLK","4983164735857","スーパーロボット大戦MXポータブル PSP the Best","バンプレスト","3,024","2,235","83","12","1,090","0","39","○","6,589","15","2007/06/28"
"B000P35W78","4983164735864","マグナカルタポータブル PSP the BEST","バンプレスト、￥ 10","3,024","1,491","829","6","600","40","19","○","20,609","3","2007/06/28"
